pg_id:ID(Book),title,language
10439,"From Yauco to Las Marias A recent campaign in Puerto Rico by the Independent Regular Brigade under the command of Brig. General Schwan",en
1044,Extract from Captain Stormfield's Visit to Heaven,en
10440,Tutt and Mr. Tutt,en
10441,The Green Mouse,en
10442,La Comédie de la mort,fr
10443,The Rayner-Slade Amalgamation,en
10444,The Peace Negotiations: A Personal Narrative,en
10446,"The Green Flag, and Other Stories of War and Sport",en
10447,October Vagabonds,en
10449,Burnham Breaker,en
1045,Venus and Adonis,en
10450,"Punch, or the London Charivari, Volume 153, August 22, 1917",en
10451,"Life of Johnson, Volume 5 Tour to the Hebrides (1773) and Journey into North Wales (1774)",en
10452,Peter's Mother,en
10453,A Practical Physiology: A Text-Book for Higher Schools,en
10454,Tales for Young and Old,en
10455,A Golden Book of Venice,en
10456,"The Atlantic Monthly, Volume 02, No. 11, September, 1858 A Magazine of Literature, Art, and Politics",en
10457,The Lonely Dancer and Other Poems,en
10458,"Three short works The Dance of Death, the Legend of Saint Julian the Hospitaller, a Simple Soul.",en
10459,The Celtic Twilight,en
1046,"God, the Invisible King",en
10460,When Day is Done,en
10461,Journals of Australian Explorations,en
10462,Clarissa Harlowe; or the history of a young lady — Volume 4,en
10463,The Little House in the Fairy Wood,en
10464,"A Child's Anti-Slavery Book Containing a Few Words about American Slave Children and Stories of Slave-Life.",en
10465,"The Outdoor Girls of Deepdale; Or, camping and tramping for fun and health",en
10466,Little Saint Elizabeth and Other Stories,en
10468,Aunt Jane's Nieces in Society,en
10469,Johnny Crow's Garden,en
1047,The New Machiavelli,en
10470,Nine Hundred Miles,en
10472,Arthurian Chronicles: Roman de Brut,en
10473,The Heart of the Range,en
10474,The Lost Naval Papers,en
10475,"The Mirror of Literature, Amusement, and Instruction Volume 12, No. 326, August 9, 1828",en
10476,"The Vanishing Man A Detective Romance",en
10477,"Beacon Lights of History, Volume 01: The Old Pagan Civilizations",en
10478,"Beacon Lights of History, Volume 02: Jewish Heroes and Prophets",en
10479,"Our Churches and Chapels: Their Parsons, Priests, & Congregations Being a Critical and Historical Account of Every Place of Worship in Preston",en
1048,The Ruling Passion: Tales of Nature and Human Nature,en
10480,Kauppa-Lopo,fi
10481,Rautatie,fi
10482,The Young Mother: Management of Children in Regard to Health,en
10484,"Beacon Lights of History, Volume 03: Ancient Achievements",en
10485,Experiments in Government and the Essentials of the Constitution,en
10486,Twelve Gates to the City,en
10487,Alabama Bound,en
10488,Away in a Manger,en
1049,Vanished Arizona: Recollections of the Army Life by a New England Woman,en
10490,The Golden Legend,en
10491,"Practice Book, Leland Powers School",en
10492,Agnes,fi
10494,Henry the Second,en
10495,Under King Constantine,en
10496,"Red Masquerade Being the Story of the Lone Wolf's Daughter",en
10497,Battle Hymn of the Republic,en
10498,Ain' No Mo' Cane on De Brazis,en
10499,Delia's Gone,en
105,Persuasion,en
1050,The Dark Lady of the Sonnets,en
10500,Heave Away,en
10501,The Whale Catchers,en
10502,Vecchie Storie,it
10503,John Henry,en
10504,Liverpool Gals,en
10505,Waltzing Matilda,en
10506,"Romance de lobos, comedia barbara",es
10507,"Mary, Erzählung",de
10508,"The Sorrows of a Show Girl A Story of the Great ""White Way""",en
10509,The Bars of Iron,en
1051,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,en
10510,Inaugural Presidential Address,en
10511,"A Rogue by Compulsion An Affair of the Secret Service",en
10512,Het portret van Dorian Gray,nl
10513,"On the Seashore Cassell's ""Eyes and No Eyes"" Series, Book VII",en
10514,"De jongere generatie gesprekken met vertegenwoordigers van de nieuwere richting in onze literatuur; tevens een enquête naar enkele beginselen in ons nationaal geestelijk leven",nl
10515,Rhymes of a Roughneck,en
10516,Bits about Home Matters,en
10517,"Government and Rebellion A Sermon Delivered in the North Broad Street Presbyterian Church, Sunday Morning, April 28, 1861",en
10518,Poems,en
10519,Mercy Philbrick's Choice,en
1052,"Step by Step; Or, Tidy's Way to Freedom",en
10520,"The Compleat Cook Expertly Prescribing the Most Ready Wayes, Whether Italian, Spanish or French, for Dressing of Flesh and Fish, Ordering Of Sauces or Making of Pastry",en
10521,"The Primadonna A Sequel to ""Fair Margaret""",en
