:START_ID(Book),:END_ID(Author)
10698,"Langworthy, John Luther"
107,"Hardy, Thomas"
10700,"Lingard, John"
10701,"Mommsen, Theodor"
10702,"Mommsen, Theodor"
10703,"Mommsen, Theodor"
10704,"Mommsen, Theodor"
10705,"Mommsen, Theodor"
10706,"Mommsen, Theodor"
10707,"Locke, William John"
10708,"De Quincey, Thomas"
10709,"Shiel, M. P. (Matthew Phipps)"
10710,"Hobson, J. A. (John Atkinson)"
10711,Various
10712,"Melville, Herman"
10713,"Bullitt, William C. (William Christian)"
10714,"Schopenhauer, Arthur"
10715,"Schopenhauer, Arthur"
10716,"Abercrombie, Lascelles"
10717,Pindar
10718,"Le Queux, William"
10719,Various
10720,"Zola, Émile"
10721,Various
10722,"Ostrovsky, Aleksandr Nikolaevich"
10723,"Stowe, Harriet Beecher"
10724,"Alger, Horatio, Jr."
10725,"Chaplin, Ralph"
10726,"Newell, Jane H. (Jane Hancox)"
10727,"Barrett, Frank"
10728,"Walton, O. F., Mrs."
10729,"Alger, Horatio, Jr."
10730,Various
10731,"Schopenhauer, Arthur"
10732,"Schopenhauer, Arthur"
10733,"McCleary, J. T. (James Thompson)"
10735,"Fox, John"
10736,"London, Jack"
10737,"Merrill, Rufus"
10738,"Draycott, Gladys M."
10739,"Schopenhauer, Arthur"
1074,"London, Jack"
10740,"Allen, James"
10741,"Schopenhauer, Arthur"
10742,"Spafford, Oliver"
10743,"Falkner, John Meade"
10744,"Phelps, Elizabeth Stuart"
10745,"Pyle, Howard"
10746,"Maupassant, Guy de"
10747,"Rostand, Edmond"
10749,Unknown
1075,"London, Jack"
10750,"Sheard, Virna"
10751,"Lomax, E. L. (Edward Lloyd)"
10752,"Stojan, Harry"
10753,"Rushkoff, Douglas"
10754,Unknown
10755,"Mason, A. E. W. (Alfred Edward Woodley)"
10756,"Jackson, Helen Hunt"
10757,"McGuinn, Roger"
10758,"McGuinn, Roger"
10759,"McGuinn, Roger"
1076,"Bramah, Ernest"
10760,"Torrey, Bradford"
10761,"Stevenson, Robert Louis"
10762,"Eliot, George"
10764,"Champollion, Jean-François"
10765,"Brayman, James O."
10766,Anonymous
10767,"Barrie, J. M. (James Matthew)"
10768,"Maspero, G. (Gaston)"
10769,"Lucas, E. V. (Edward Verrall)"
1077,"Bramah, Ernest"
10770,"Comyn, Tomás de"
10771,"Miller, John Maurice"
10772,"Bingham, Hiram"
10773,"Willson, Thomas E."
10774,"Achard, Amédée"
10775,"Maupassant, Guy de"
10776,"Appleton, Victor"
10777,"Le Feuvre, Amy"
10778,"Jenkins, Sara Davis"
10779,Unknown
1078,"Altsheler, Joseph A. (Joseph Alexander)"
10780,"Litchfield, Grace Denio"
10781,"Jacobs, W. W. (William Wymark)"
10782,"Jacobs, W. W. (William Wymark)"
10783,"Jacobs, W. W. (William Wymark)"
10784,"Jacobs, W. W. (William Wymark)"
10785,"Jacobs, W. W. (William Wymark)"
10786,"Jacobs, W. W. (William Wymark)"
10787,"Jacobs, W. W. (William Wymark)"
10788,"Jacobs, W. W. (William Wymark)"
10789,"Jacobs, W. W. (William Wymark)"
1079,"Sterne, Laurence"
10790,"Jacobs, W. W. (William Wymark)"
